User-ID,ISBN,Book-Rating
276746,0449006522,0
276746,055356451X,0
276755,0451166892,5
276796,0330332775,5
276847,0446364193,0
276856,2253005274,0
276925,0316666343,0
276925,0385504209,8
276925,0451527747,0
276925,0486282112,0
276925,0804106304,0
276925,0971880107,0
276925,1853262404,0
276925,8427007450,0
276939,0971880107,0
276939,2253063339,9
276953,0446310786,10
276954,0971880107,0
276986,0060930187,10
276994,3596214629,8
277042,0446605484,7
277042,0971880107,2
277072,1573229571,9
277096,0064407667,7
277123,0399138684,0
277157,0743486226,7
277157,0971880107,0
277168,0440225701,0
277187,0671042858,0
277195,0316666343,0
277195,0330332775,10
277195,0375406328,0
277195,042511774X,0
277195,0446605484,0
277195,0671021001,10
277196,0812521129,0
277197,0743206045,0
277197,0743229878,6
277203,0590629719,10
277212,044023722X,8
277246,0452282152,10
277315,0060173289,8
277315,0060976845,5
277363,0156027321,8
277378,0312195516,7
277378,0670892963,7
277378,0971880107,0
277411,044023722X,0
277413,0316666343,0
277427,0060913509,0
277427,0061009059,9
277427,0140067477,0
277427,0142001740,0
277427,0316666343,0
277427,0316776963,8
277427,0345311396,0
277427,0345404777,0
277427,0375751513,9
277427,0380710218,0
277427,0380718332,0
277427,0385503857,9
277427,0385504209,8
277427,039304016X,8
277427,0399144463,0
277427,0440225701,0
277427,0684864320,0
277427,0743406176,8
277427,0971880107,0
277439,0316666343,7
277439,0385504209,0
277439,0671027360,7
277462,0312195516,10
277478,0440225701,0
277478,0440234743,0
277478,0449907481,0
277478,0671525832,0
277478,0671888587,0
277478,0786868716,0
277478,0971880107,0
277517,0452282152,8
277523,0316693200,10
277523,0385508042,10
277523,0743206045,10
277523,1558744150,10
277530,0971880107,0
277554,0449907481,0
277563,0312986769,7
277563,0312995431,9
277569,0385511612,0
277589,0385504209,0
277623,0786890436,4
277629,0671000306,7
277639,0425142485,7
277639,0440211727,8
277639,0440218535,0
277639,0590687301,0
277641,0375406328,7
277641,0452277337,8
277647,067976397X,8
277681,2070362388,0
277689,0804106304,0
277698,0316769487,6
277706,0380717018,0
277711,0452264464,0
277722,0449005615,10
277743,0446310786,9
277744,0449005615,0
277752,0316666343,7
277783,0380778556,8
277803,0142001740,8
277816,0060915544,0
277819,0553210092,0
277827,0380778556,9
277828,0380778556,8
277873,0767903579,7
277901,0446672211,7
277901,0452282152,8
277901,0679427430,8
277915,0060923245,0
277922,0440225701,6
277928,0060173289,0
277928,0375400117,0
277928,038542471X,0
277928,0670892963,0
277928,0679429220,0
277932,0971880107,0
277937,0312195516,0
277937,0316168815,7
277938,0446672211,9
277958,0142001740,9
277959,0156027321,8
277965,0060173289,0
277965,0316666343,0
277965,0316789089,5
277965,0345378490,0
277965,0345402871,0
277965,0345417623,0
277987,0385503857,0
278002,044651747X,0
278026,0061009059,8
278026,0449006522,8
278026,0743206045,7
278044,0345441133,0
278044,0553564528,7
278075,0452282152,8
278085,0374270325,7
278104,0804111359,0
278112,0385472951,8
278119,044661162X,9
278137,0312195516,0
278137,0446527793,0
278137,0671673688,0
278137,0671888587,0
278137,0804106304,8
278137,0971880107,0
278137,1558744150,9
278144,0345417623,0
278144,039914739X,0
278144,0440234743,0
278144,0446672211,0
278144,0679450432,0
278144,0679450440,0
278144,0743206045,0
278144,140003180X,0
278153,0446612545,0
278172,0380817144,7
278176,0971880107,9
278185,0142000205,4
278188,0140345809,0
278188,0440122090,4
278188,0440223571,9
278188,0440225701,9
278188,0515134368,0
278188,0553278746,0
278202,0312252617,4
278202,0385497466,3
278202,0446527165,0
278218,0060977493,7
278218,0349101779,10
278221,0804106304,9
278243,0156027321,8
278254,0671027360,8
278255,1878424319,0
278257,0449912302,5
278333,0440225701,10
278342,0425184226,0
278350,0312195516,9
278356,0374270325,9
278373,0971880107,0
278390,0425182908,4
278390,0553569058,9
278390,0671027360,7
278390,0804106304,0
278418,0020442408,0
278418,0061076031,0
278418,0156528207,0
278418,0307001164,0
278418,0307118703,0
278418,0345313860,0
278418,0345353625,0
278418,0373871562,0
278418,0374270325,0
278418,038076654X,0
278418,0385306032,0
278418,0385420161,0
278418,0385490992,0
278418,0399138684,0
278418,0425120279,0
278418,042518630X,7
278418,044021145X,0
278418,0440211727,0
278418,0440223571,0
278418,0440225701,0
278418,044023722X,0
278418,0446310786,0
278418,0446364193,0
278418,0446523569,0
278418,0446601640,0
278418,0446602086,0
278418,0446672211,0
278418,0449212084,0
278418,0449245691,0
278418,0451155750,0
278418,0451162072,0
278418,0451181379,0
278418,0451205421,0
278418,0452264464,0
278418,0515122408,0
278418,0515127833,0
278418,055356451X,0
278418,0671002481,0
278418,0671867113,0
278418,0743406176,0
278418,1561561428,0
278418,1853260053,0
278422,0671027360,6
278446,0743418190,6
278487,0553578693,10
278490,0743206053,0
278506,0385490992,0
278514,0971880107,0
278535,0375726403,0
278535,0380710218,0
278535,0380717018,0
278535,0380718332,0
278535,042511774X,0
278535,0425182878,9
278535,0446605484,10
278541,0142001740,9
278552,0671021001,7
278554,0385730586,9
278561,0446612545,7
278586,0380728273,0
278633,0142000205,7
278633,0316666343,9
278633,0380730138,0
278633,0385730586,0
278633,0446610399,0
278633,0446672211,0
278633,0449907481,6
278681,0375704965,7
278692,0060976845,0
278723,0553580388,0
278781,0743211383,0
278798,0786868015,7
278800,0312995423,9
278813,0375726403,0
278819,0385511612,0
278832,155874262X,10
278843,0060173289,9
278843,0060976845,0
278843,0142000205,9
278843,0316789089,0
278843,0804106304,0
278851,1558531025,8
2,0195153448,0
8,0002005018,5
8,0060973129,0
8,0374157065,0
8,0393045218,0
8,0399135782,0
8,0425176428,0
8,0671870432,0
8,0679425608,0
8,074322678X,5
8,0771074670,0
8,080652121X,0
8,0887841740,5
8,1552041778,5
8,1558746218,0
8,1567407781,6
8,1575663937,6
8,1881320189,7
9,0440234743,0
9,0452264464,6
9,0609804618,0
10,1841721522,0
12,1879384493,10
14,0061076031,5
14,0439095026,5
14,0689821166,6
14,0971880107,0
16,0345402871,9
16,0345417623,0
17,0684823802,0
19,0375759778,7
20,0425163091,0
22,3404921038,7
22,3442353866,0
22,3442410665,0
22,3442446937,0
23,0375406328,0
26,0446310786,10
26,0449005615,9
32,0060168013,8
32,038078243X,0
32,055321215X,0
36,067176537X,0
39,0061099686,0
39,0553582909,8
39,0671888587,7
42,0553582747,7
44,0425182908,0
44,042518630X,0
44,0440223571,8
44,0812523873,0
44,0842342702,0
51,0440225701,9
53,0060914068,3
53,0156047624,10
53,0245542957,6
53,0380715899,9
53,0553280333,0
53,0961769947,0
53,0964778319,0
56,0671623249,7
56,0679810307,0
56,0679865691,9
64,2070423204,7
67,0345260317,0
67,0394743741,7
67,042511774X,0
67,0804106304,0
68,1853262404,0
69,0312970242,0
69,1853260053,8
70,1414035004,10
73,0060938412,5
75,0140067477,0
75,0345465083,0
75,0451625889,0
75,1558531025,5
77,0441783589,0
78,0394895894,8
79,1569871213,0
81,0375410538,5
82,0966986105,10
83,087113375X,7
85,0340767936,5
85,0743403843,0
86,0060930365,4
87,0060177586,0
87,0071416331,8
87,0375509038,8
88,0553062042,7
91,0316769487,9
92,8445071408,7
92,8445071769,8
92,8445071777,10
95,0679429220,0
97,0671867156,7
99,0312252617,8
99,0312261594,8
99,0316748641,7
99,0316973742,0
99,0385235941,6
99,0446677450,10
99,0451166892,3
99,0553347594,9
99,0671621009,10
99,067976397X,0
99,0684822733,0
99,0786868716,0
102,8472238822,7
107,0671864769,8
109,0671521519,5
110,0440222303,6
114,0312953453,7
114,0446608653,9
114,0446612545,9
114,0446612618,8
114,0451208080,8
114,0553584383,9
114,0671027360,10
114,0812575954,5
125,0679429220,10
129,0316735736,7
132,0743439740,0
133,0345372700,10
133,0380619458,0
133,0446325805,0
135,0451406923,0
135,0671042858,0
139,0743249992,0
141,0840734530,10
144,0425184226,0
151,0375500766,0
